Watching for expander to finish...
  Progress: 321/2576 (12.5%) — waiting...
  Progress: 324/2576 (12.6%) — waiting...
  Progress: 326/2576 (12.7%) — waiting...
  Progress: 329/2576 (12.8%) — waiting...
  Progress: 331/2576 (12.8%) — waiting...
  Progress: 334/2576 (13.0%) — waiting...
  Progress: 336/2576 (13.0%) — waiting...
  Progress: 338/2576 (13.1%) — waiting...
  Progress: 341/2576 (13.2%) — waiting...
  Progress: 343/2576 (13.3%) — waiting...
  Progress: 346/2576 (13.4%) — waiting...
  Progress: 348/2576 (13.5%) — waiting...
  Progress: 351/2576 (13.6%) — waiting...
  Progress: 353/2576 (13.7%) — waiting...
  Progress: 355/2576 (13.8%) — waiting...
  Progress: 358/2576 (13.9%) — waiting...
  Progress: 360/2576 (14.0%) — waiting...
  Progress: 363/2576 (14.1%) — waiting...
  Progress: 365/2576 (14.2%) — waiting...
  Progress: 368/2576 (14.3%) — waiting...
  Progress: 370/2576 (14.4%) — waiting...
  Progress: 372/2576 (14.4%) — waiting...
  Progress: 375/2576 (14.6%) — waiting...
  Progress: 377/2576 (14.6%) — waiting...
  Progress: 380/2576 (14.8%) — waiting...
  Progress: 382/2576 (14.8%) — waiting...
  Progress: 384/2576 (14.9%) — waiting...
  Progress: 387/2576 (15.0%) — waiting...
  Progress: 389/2576 (15.1%) — waiting...
  Progress: 392/2576 (15.2%) — waiting...
  Progress: 394/2576 (15.3%) — waiting...
  Progress: 397/2576 (15.4%) — waiting...
  Progress: 399/2576 (15.5%) — waiting...
  Progress: 402/2576 (15.6%) — waiting...
  Progress: 404/2576 (15.7%) — waiting...
  Progress: 407/2576 (15.8%) — waiting...
  Progress: 409/2576 (15.9%) — waiting...
  Progress: 412/2576 (16.0%) — waiting...
  Progress: 414/2576 (16.1%) — waiting...
  Progress: 416/2576 (16.1%) — waiting...
  Progress: 419/2576 (16.3%) — waiting...
  Progress: 421/2576 (16.3%) — waiting...
  Progress: 424/2576 (16.5%) — waiting...
  Progress: 426/2576 (16.5%) — waiting...
  Progress: 428/2576 (16.6%) — waiting...
  Progress: 431/2576 (16.7%) — waiting...
  Progress: 433/2576 (16.8%) — waiting...
  Progress: 436/2576 (16.9%) — waiting...
  Progress: 438/2576 (17.0%) — waiting...
  Progress: 441/2576 (17.1%) — waiting...
  Progress: 443/2576 (17.2%) — waiting...
  Progress: 445/2576 (17.3%) — waiting...
  Progress: 448/2576 (17.4%) — waiting...
  Progress: 450/2576 (17.5%) — waiting...
  Progress: 453/2576 (17.6%) — waiting...
  Progress: 454/2576 (17.6%) — waiting...
  Progress: 456/2576 (17.7%) — waiting...
  Progress: 458/2576 (17.8%) — waiting...
  Progress: 461/2576 (17.9%) — waiting...
  Progress: 463/2576 (18.0%) — waiting...
  Progress: 465/2576 (18.1%) — waiting...
  Progress: 468/2576 (18.2%) — waiting...
  Progress: 470/2576 (18.2%) — waiting...
  Progress: 473/2576 (18.4%) — waiting...
  Progress: 475/2576 (18.4%) — waiting...
  Progress: 477/2576 (18.5%) — waiting...
  Progress: 480/2576 (18.6%) — waiting...
  Progress: 482/2576 (18.7%) — waiting...
  Progress: 485/2576 (18.8%) — waiting...
  Progress: 487/2576 (18.9%) — waiting...
  Progress: 490/2576 (19.0%) — waiting...
  Progress: 492/2576 (19.1%) — waiting...
  Progress: 495/2576 (19.2%) — waiting...
  Progress: 497/2576 (19.3%) — waiting...
  Progress: 499/2576 (19.4%) — waiting...
  Progress: 501/2576 (19.4%) — waiting...
  Progress: 504/2576 (19.6%) — waiting...
  Progress: 506/2576 (19.6%) — waiting...
  Progress: 508/2576 (19.7%) — waiting...
  Progress: 511/2576 (19.8%) — waiting...
  Progress: 513/2576 (19.9%) — waiting...
  Progress: 516/2576 (20.0%) — waiting...
  Progress: 518/2576 (20.1%) — waiting...
  Progress: 520/2576 (20.2%) — waiting...
  Progress: 522/2576 (20.3%) — waiting...
  Progress: 524/2576 (20.3%) — waiting...
  Progress: 527/2576 (20.5%) — waiting...
  Progress: 529/2576 (20.5%) — waiting...
  Progress: 531/2576 (20.6%) — waiting...
  Progress: 533/2576 (20.7%) — waiting...
  Progress: 535/2576 (20.8%) — waiting...
  Progress: 537/2576 (20.8%) — waiting...
